Site ID,Area,RFI Date,Power Configuration ,Site Status,PO Number,"Permanent Grid Connection PO Ref No.",Permanent Grid Connection Date,"Permanent Grid Connection cost","Temporary Grid Connection PO Ref No.",Temporary Grid Connection Date,"Temporary Grid Connection cost","Electrification Category(Rollout/ Operations)","Electrification conversion Rate",Electrification Invoice Batch No,"High Capex Sites(Yes/No)",Community Pass Thru cost,Ooredoo Site ID,Ooredoo Activation Date,Ooredoo Deactivation Date,Ooredoo  Site Class,Ooredoo Average Site Load,Ooredoo Uptime,MPT  OpCo ID,MPT Activation Date,MPT deactivation Date,Tenant2  Site Class,MPT Average Site Load,MPT Uptime,Amara  OpCo ID,Amara Activation Date,Amara deactivation Date,Amara  Site Class,Amara Average Site Load,Amara Uptime
AcNP0003,Naypyitaw,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcNP0003,17-09-2015,,Critical,2.48,99.9903342,,,,,,,,,,,,
AcKC0001,Kachin,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcKC0001,19-10-2015,,Critical,1.89,99.88291102,,,,,,,,,,,,
AcBA0002,Bago,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcBA0002,21-09-2015,,Critical,3.75,99.84538447,,,,,,,,,,,,
AcSA0006,Sagaing,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcSA0006,17-10-2015,,Class B,4.58,100,CoSA0002,10-11-2016,,Critical,1.5,100,,,,,,
AcRA0002,Rakhine,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcRA0002,04-11-2015,,Critical,5.42,99.59189566,,,,,,,,,,,,
AcBA0001,Bago,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcBA0001,21-09-2015,,Class B,5.16,99.84,CoBA0001,08-02-2017,,Critical,2.6,99.84,,,,,,
AcKC0002,Kachin,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcKC0002,19-10-2015,,Class B,2.46,100,,,,,,,,,,,,
AcMA0002,Mandalay,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMA0002,17-10-2015,,Class B,2.90,100,CoMA0001,11-08-2017,,Class C,1.5,100,,,,,,
AcMA0006,Mandalay,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcMA0006,17-10-2015,,Critical,5.69,99.96,CoMA0002,26-02-2017,,Critical,1.5,99.96,,,,,,
AcMA0010,Mandalay,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMA0010,17-10-2015,,Class B,4.17,97.07613169,CoMA0005,02-03-2017,,Critical,2.6,97.07613169,,,,,,
AcMA0007,Mandalay,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMA0007,17-10-2015,,Class B,1.85,99.61520974,,,,,,,,,,,,
AcRA0001,Rakhine,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcRA0001,04-11-2015,,Class B,1.28,99.82215336,,,,,,,,,,,,
AcSA0004,Sagaing,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcSA0004,17-10-2015,,Class B,1.92,100,,,,,,,,,,,,
AcTA0001,Tanintharyi,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcTA0001,23-09-2015,,Class B,2.03,99.99654852,,,,,,,,,,,,
AcMW0003,Magway,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMW0003,17-09-2015,,Class B,2.90,99.96728146,,,,,,,,,,,,
AcSA0005,Sagaing,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcSA0005,17-10-2015,,Class B,2.50,99.87843903,,,,,,,,,,,,
AcSA0007,Sagaing,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcSA0007,17-10-2015,,Class B,2.21,99.45112754,,,,,,,,,,,,
AcAY0002,Ayeyarwady,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcAY0002,21-09-2015,,Class B,2.16,99.99637843,,,,,,,,,,,,
